epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,1318.14,1.48256,5.39243,0.37473,1.27028,1.97593,0.94611,0.82609,0.90841,0.4162,0.35948,0.28474,0.14347,0.02375,1.77829,5.5952,0.24702,1.01239,2.4415,0.000774596,0.000774596,0.000774596
97,1331.17,1.50056,5.57787,0.38958,1.34497,1.99125,0.9137,0.84058,0.89034,0.38754,0.47497,0.31884,0.19799,0.03543,1.83361,5.62738,0.23856,0.99163,2.46091,0.000770234,0.000770234,0.000770234
98,1344.44,1.49299,5.44613,0.38382,1.30726,1.95473,0.91334,0.85507,0.89468,0.40252,0.45512,0.24638,0.20162,0.0409,1.75175,5.92927,0.23646,1.01896,2.37127,0.000765843,0.000765843,0.000765843
99,1356.97,1.51073,5.45609,0.36242,1.36724,1.96347,0.89507,0.85507,0.92054,0.40953,0.52102,0.28986,0.26975,0.05559,1.74642,5.9012,0.22941,1.02348,2.38029,0.000761423,0.000761423,0.000761423
100,1370.23,1.50553,5.78708,0.40415,1.3759,2.00277,0.96951,0.9218,0.94167,0.42557,0.56814,0.42029,0.33357,0.06241,1.82081,5.69688,0.21494,0.9522,2.46821,0.000756976,0.000756976,0.000756976
101,1383.45,1.54343,5.45569,0.36987,1.35943,1.98972,0.92868,0.95652,0.95508,0.47098,0.38567,0.30435,0.18631,0.03223,1.67083,5.62852,0.20321,0.88251,2.34016,0.0007525,0.0007525,0.0007525
102,1397.13,1.49237,5.43326,0.37618,1.34305,1.98566,0.98727,0.89855,0.95546,0.44671,0.28112,0.28986,0.133,0.02491,1.67923,5.72457,0.20212,0.97521,2.37704,0.000747997,0.000747997,0.000747997
103,1410.17,1.49895,5.53818,0.38095,1.3403,2.03057,0.95219,0.94203,0.95656,0.47842,0.33608,0.33333,0.20047,0.03341,1.61618,5.72335,0.20217,0.90264,2.32267,0.000743468,0.000743468,0.000743468
104,1423.05,1.51303,5.44975,0.37656,1.30058,1.99494,0.95376,0.89686,0.93247,0.47951,0.28861,0.27536,0.13366,0.02547,1.62037,5.80605,0.21811,0.81899,2.31408,0.000738913,0.000738913,0.000738913
105,1436.82,1.50216,5.60813,0.36908,1.32706,1.98385,0.95158,0.85442,0.93385,0.37978,0.42907,0.30435,0.23251,0.0361,1.95991,5.84854,0.25044,1.02248,2.65202,0.000734332,0.000734332,0.000734332
106,1450.55,1.4995,5.43589,0.38868,1.34363,2.00641,0.91581,0.78827,0.88759,0.47611,0.42713,0.23188,0.16827,0.03657,1.58943,5.92775,0.2521,1.02319,2.26483,0.000729725,0.000729725,0.000729725
107,1463.82,1.43561,5.38257,0.36496,1.24844,1.95441,0.96349,0.76487,0.91674,0.42477,0.45454,0.31884,0.20818,0.03485,1.75398,5.8813,0.25443,1.01274,2.41855,0.000725094,0.000725094,0.000725094
108,1477.17,1.49914,5.51927,0.38113,1.26733,1.96636,0.96809,0.87947,0.93388,0.43716,0.39811,0.42029,0.31142,0.05586,1.6923,5.64089,0.26588,0.95242,2.40025,0.000720439,0.000720439,0.000720439
109,1490.64,1.45583,5.51502,0.37466,1.26537,1.94149,0.9358,0.91304,0.93746,0.49369,0.42447,0.4169,0.25955,0.05189,1.53273,5.65016,0.25702,0.88446,2.26248,0.000715761,0.000715761,0.000715761
110,1503.84,1.48393,5.30811,0.37928,1.25453,1.9586,0.95164,0.94203,0.96334,0.43381,0.41088,0.35383,0.22517,0.0446,1.82266,5.84478,0.20687,0.91922,2.54409,0.000711059,0.000711059,0.000711059
111,1517.29,1.46169,5.48385,0.38335,1.24704,1.9542,0.91109,0.89108,0.94617,0.43782,0.44757,0.37681,0.22441,0.03963,1.71669,5.73305,0.1869,0.9356,2.4305,0.000706335,0.000706335,0.000706335
