epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1116.81,1.46134,5.87274,0.38692,1.22814,1.96538,0.90682,0.84626,0.91327,0.47825,0.35272,0.33333,0.17859,0.04535,1.66045,5.7153,0.21765,0.87843,2.37221,0.000589986,0.000589986,0.000589986
82,1130.58,1.44285,5.61133,0.36838,1.18192,1.96187,0.93526,0.89855,0.93336,0.4787,0.36425,0.33333,0.19248,0.05056,1.70598,5.36181,0.19251,0.80305,2.3283,0.000587386,0.000587386,0.000587386
83,1143.37,1.39896,5.4692,0.35028,1.14426,1.9431,0.94358,0.89855,0.94506,0.46978,0.42705,0.4058,0.29137,0.05602,1.68101,5.3347,0.19959,0.8162,2.27289,0.000584762,0.000584762,0.000584762
84,1157.06,1.43254,5.55322,0.3667,1.11474,1.97768,0.98187,0.91304,0.9533,0.49004,0.38049,0.36232,0.23644,0.04211,1.55179,5.42069,0.22888,0.8437,2.18494,0.000582115,0.000582115,0.000582115
85,1170.14,1.44342,5.50006,0.36919,1.17407,1.9819,0.95394,0.90044,0.95532,0.469,0.4376,0.33333,0.20485,0.04468,1.69051,5.41504,0.22257,0.83993,2.29659,0.000579443,0.000579443,0.000579443
86,1183.53,1.40759,5.44268,0.35859,1.17867,1.93888,0.91358,0.94203,0.93479,0.4586,0.41335,0.37784,0.22604,0.04544,1.65844,5.35418,0.19156,0.83044,2.23403,0.000576749,0.000576749,0.000576749
87,1197.21,1.43765,5.31921,0.33943,1.17397,1.96873,0.92314,0.91304,0.91848,0.52646,0.46002,0.42029,0.29748,0.04961,1.55417,5.28484,0.19394,0.79399,2.14954,0.000574032,0.000574032,0.000574032
88,1210.19,1.3951,5.37945,0.36722,1.10922,1.91261,0.95952,0.84058,0.91685,0.48915,0.30122,0.31861,0.1866,0.02716,1.68097,5.41774,0.21391,0.83006,2.31829,0.000571292,0.000571292,0.000571292
89,1224.42,1.42518,5.38951,0.36523,1.16506,1.92126,0.95239,0.84058,0.93385,0.52509,0.33554,0.34783,0.18834,0.03078,1.56995,5.37052,0.21616,0.76722,2.23481,0.000568529,0.000568529,0.000568529
90,1237.92,1.40697,5.46291,0.35512,1.14971,1.93126,0.94953,0.88406,0.92811,0.53005,0.37884,0.3913,0.20758,0.04271,1.55293,5.42376,0.21341,0.73367,2.24073,0.000565745,0.000565745,0.000565745
91,1251.69,1.42968,5.36551,0.37047,1.16776,1.99188,0.96818,0.91304,0.93133,0.47426,0.42052,0.37681,0.21218,0.04213,1.642,5.36349,0.2235,0.80134,2.34026,0.000562939,0.000562939,0.000562939
92,1265.59,1.41369,5.68083,0.3641,1.09805,1.95622,0.96988,0.93344,0.95985,0.53711,0.3803,0.36232,0.23118,0.05103,1.37623,5.47001,0.21896,0.75303,2.04324,0.000560111,0.000560111,0.000560111
93,1278.36,1.41368,5.44721,0.37806,1.14692,2.00992,0.98411,0.89736,0.94532,0.48813,0.45741,0.42029,0.30535,0.06273,1.51959,5.25734,0.21399,0.83554,2.2095,0.000557262,0.000557262,0.000557262
